# C initSynchTables dump: F(x) and Ga(x)
# SYNCH_N_X=2000  SYNCH_X_MIN=1.0e-05  SYNCH_X_MAX=5.0e+01
# Columns: i  x  F(x)  Ga(x)
       i               x            F(x)           Ga(x)
     445    3.099320e-04    1.449051e-01    1.602412e+00
     446    3.123328e-04    1.452754e-01    1.602412e+00
     447    3.147522e-04    1.456466e-01    1.602412e+00
     448    3.171903e-04    1.460188e-01    1.602412e+00
     449    3.196473e-04    1.463919e-01    1.602412e+00
     450    3.221234e-04    1.467659e-01    1.602412e+00
     451    3.246186e-04    1.471408e-01    1.602412e+00
     452    3.271332e-04    1.475168e-01    1.602412e+00
     453    3.296672e-04    1.478936e-01    1.602412e+00
     454    3.322209e-04    1.482714e-01    1.602412e+00
     455    3.347943e-04    1.486501e-01    1.602411e+00
     456    3.373877e-04    1.490298e-01    1.602411e+00
     457    3.400012e-04    1.494105e-01    1.602411e+00
     458    3.426349e-04    1.497921e-01    1.602411e+00
     459    3.452890e-04    1.501747e-01    1.602411e+00
     460    3.479636e-04    1.505582e-01    1.602411e+00
     461    3.506590e-04    1.509427e-01    1.602411e+00
     462    3.533753e-04    1.513281e-01    1.602411e+00
     463    3.561126e-04    1.517145e-01    1.602411e+00
     464    3.588711e-04    1.521019e-01    1.602411e+00
     465    3.616510e-04    1.524903e-01    1.602411e+00
     466    3.644524e-04    1.528796e-01    1.602411e+00
     467    3.672755e-04    1.532699e-01    1.602411e+00
     468    3.701205e-04    1.536612e-01    1.602411e+00
     469    3.729875e-04    1.540535e-01    1.602411e+00
     470    3.758768e-04    1.544468e-01    1.602411e+00
     471    3.787884e-04    1.548410e-01    1.602411e+00
     472    3.817225e-04    1.552362e-01    1.602411e+00
     473    3.846794e-04    1.556324e-01    1.602411e+00
     474    3.876592e-04    1.560297e-01    1.602411e+00
     475    3.906621e-04    1.564279e-01    1.602410e+00
     476    3.936882e-04    1.568271e-01    1.602410e+00
     477    3.967378e-04    1.572273e-01    1.602410e+00
     478    3.998110e-04    1.576285e-01    1.602410e+00
     479    4.029080e-04    1.580307e-01    1.602410e+00
     480    4.060290e-04    1.584339e-01    1.602410e+00
     481    4.091742e-04    1.588381e-01    1.602410e+00
     482    4.123437e-04    1.592434e-01    1.602410e+00
     483    4.155378e-04    1.596496e-01    1.602410e+00
     484    4.187567e-04    1.600569e-01    1.602410e+00
     485    4.220004e-04    1.604652e-01    1.602410e+00
     486    4.252693e-04    1.608745e-01    1.602410e+00
     487    4.285635e-04    1.612848e-01    1.602409e+00
     488    4.318833e-04    1.616962e-01    1.602409e+00
     489    4.352287e-04    1.621086e-01    1.602409e+00
     490    4.386001e-04    1.625220e-01    1.602409e+00
     491    4.419975e-04    1.629364e-01    1.602409e+00
     492    4.454213e-04    1.633519e-01    1.602409e+00
     493    4.488716e-04    1.637684e-01    1.602409e+00
     494    4.523487e-04    1.641860e-01    1.602409e+00
     495    4.558527e-04    1.646046e-01    1.602409e+00
     496    4.593838e-04    1.650242e-01    1.602409e+00
